,Date,Place,Address,City,State,County,Neighborhood,category,Note ,Score,anything special,alcohol,smoking,eat in,bathroom,parking,cash only,sizes,cost,roll,who's,roll s,meat ,meat s,cheese,cheese s,extras,extras s,overall,overall s,SCORE,Unnamed: 31,Instagram,YouTube,location,geo,latitude,longitude
247,4/3/2019,Jersey Joe's,76 Haddon Ave,Berlin,NJ,Camden County,,Sandwich shop,"If I wasn't with my mom I would still be at Jersey Joe's!!  This is definitely the next time you are near Berlin NJ stop and eat at Jersey Freaking Joe'sI ncluded the 'freaking' only because I am trying to show emotion.  I got excited seeing the Liscio boxes BUT Liscio Sesame seed rolls, shut the flocking door!!!  The meat is a little thicker slice, less chopped and they leave it on the grill a little longer to get a little char; GENIUS!!  the cheese was seperating the roll and the meat; slap my face I thought I liked the cheese melted into the meat.  Mushrooms were awesome.  prices are more than fair but cash only.",93,Liscio's sesame seed roll,no,no,yes,IDK,yes,yes,1,10ish,awesome sesame seed,liscio's,19,"thicker slice, less chop, charred on the grill",19,very good cheese melted on top of meat or on rll.,18,very good all around,18,very good all around experience,19,93,,,,"76 Haddon Ave, Berlin NJ","76 Haddon Avenue, Berlin, New Jersey 08091, United States",39.803911,-74.938491
248,4/5/2019,Peter and Sons,20 Delsea Drive,Glassboro,NJ,Gloucester County,,sandwich shop,"The more familiar you are with soft pretzels and cheesesteaks, the more your Mind will be Blown when you eat this marvelously concocted concoction!! Cheesesteak on a Soft Pretzel!! This tastes completely different than your mouth will expect!! Mind Blown!! I think it is the salt on the pretzel but I don’t know the mechanics behind food pairings I just eat Cheesesteaks!! Tina, Mrs. Peter runs a great place!! My best description is it tastes like nothing you ever had before. Peter and Sons should be on your cheesesteak bucket list!!",90,"pretzel as the roll, not pretzel roll.  A pretzel is the roll",no,no,yes,yes,yes,no,1,$7.75,pretzel,,18,"ribbons, good meat",18,"melted nicely, my biggest complaint against ribbons is cheese has nothing to melt into",18,"mushrooms, ton and awesome",18,"brain freeze taste, Tina was awesome!!",18,90,,,,"20 Delsea Drive, Glassboro NJ","20 Delsea Drive North, Glassboro, New Jersey 08028, United States",39.702912,-75.106692
249,4/8/2019,Olympic Subs & Steaks,813 N Market St,Wilmington,DE,New Castle County,,sandwich shop,I’m still not sure about this cheesesteak. It had a sneaky good amount of meat and a sneaky lot of grease/oil. The fried onions were much hotter than the meat which at times was very uncomfortably for my mouth. $17.75 for the combo and it was definitely big enough to share. Plenty of tables and a bathroom. I know the tots came from a food supplier and Olympic just deep fried them but they were good tots and plenty of them.,85,,no,no,yes,yes,no,no,2/3,$17.75 for large combo,very good roll considering there was a lot of grease/oil and it held together,Liscio,19,good meat & amount.  kind of got lost in pockets of hot that burned my mouth,16,very good amount of cheese considering there was a good amount of meat,18,very good extras.  BUT there was something about pockets of hot oily onions burning the inside of my mouth,15,I still don't know.  $17.75 decent amount of food for that price.  The whole oily hot onions has me confused.,17,85,,,,"813 N Market St, Wilmington DE","813 North Market Street, Wilmington, Delaware 19801, United States",39.743915,-75.549344
250,4/10/2019,Lupi's Pizza,3100 Bethel Rd,Boothwyn,PA,Delaware County,,pizza shop,"Garlic Bread Alert!! Garlic Bread Alert!! Delco’s cheesesteak supremacy is moving to Lupi’s Pizza in Boothwyn. I read online that Lupi’s had amazing garlic bread. So I asked (@kjw1972 @jcohl@diningonadime gave me the courage to ask) if I could get a cheesesteak on Garlic Bread. No Problem. Al, the owner, said I never thought of that, Thanks. To everyone that enjoys a garlic bread cheesesteak at Lupi’s, You are welcome and it truly was pleasure to help. Very good cheesesteak. It needs more meat but what was there was very good. Great amount of cheese melted with the meat very nicely. You can see in pictures, lots of mushrooms. $9, 11 inch roll. Seating, bathroom, regulars lingering and plenty of parking. Very good all around experience.",90,"Customer service, they'll make your CS on garlic bread, if you ask.",no,no,yes,yes,yes,no,IDK,not bad,"garlic bread, awesomeness",,19,good meat & amount,16,very good amount of cheese & melt,18,"very good extras, added great flavor",17,"great experience, several regulars having their (late) lunch.  Owner 'thanked me' for asking for garlic bread cheesesteak.",20,90,,,,"3100 Bethel Rd, Boothwyn PA","3100 New Bethel Road, Upper Chichester, Pennsylvania 19061, United States",39.833993,-75.442406
251,4/12/2019,Feby's Fishery,3701 Lancaster Pike,Wilmington,DE,New Castle County,,bar/restaraunt,"‘Dining on a Dime’ podcast has taken me to some very good places. Feby’s Fishery is pretty darn special. Blacken Tuna Cheesesteak, I was worried it was going to be last week’s tuna mixed in a bunch of cheese and sauce to hide the fish smell. I was wrong (I haven’t been wrong since 1997 so I guess I was over due). Fantastic chunks of fresh tuna. Very little cheese which on one hand I am glad because the Tuna was perfect the way it was. Great ‘Blackened Tuna’ Cheesesteak!! and only $11.  and comes with a side.  and I chose Sweet Potato Waffle Fries.  YES, $11, awesome blackened Tuna cheesesteak with a side and Sweet Potato Waffle Fries came be your side!!",*****,Blackened Tuna cheesesteak,yes,no,yes,yes,yes,no,1,"$11, are you kidding me, $11 for awesomeness","very good roll, thicker, chewy and needed to be",,,very nice tuna,,cheese kind of got lost in cheesey cocktaily bourbany sauce,,great sauce,,"overall fantabulous experience, everyone was nice as could be including other patrons",,0,,,,"3701 Lancaster Pike, Wilmington DE","3701 Lancaster Pike, Wilmington, Delaware 19805, United States",39.755214,-75.593832
252,4/13/2019,Billy's Soft Pretzels atBooths Corner Farmers Market,1362 Naamans Creek Rd,Garnet Velley,PA,Delaware County,,Farmer's market,Billy’s soft pretzels at Booths Corner Farmers Market. Cheesesteak baked in Soft Pretzel dough!! Very cool!! Unfortunately mine was under cooked. It was still very tasty. One of my new favorite thing is the steak sauce that I have gotten on my last 2 farmers market cheesesteaks. While at the Farmers Market you have to stop by 4th St Famous cookies!!,****,cheesesteak baked in soft pretzel dough.,no,no,no,yes,yes,IDK,1,less than $5 maybe,,,,,,,,,,,,0,,,,"1362 Naamans Creek Rd, Garnet Velley PA","1362 Naamans Creek Road, Garnet Valley, Pennsylvania 19060, United States",39.840838,-75.496471
253,4/15/2019,Manbroso's To Go,4550 Aston Mills Rd,Aston,PA,Delaware County,,pizza shop,"Manbroso’s has restored my faith in human decency and customer service. I got here about an hour before closing and they had a little bit of a rush going. Long story short, we put our heads together and I went home with cheesesteak meat, fried onions, mushrooms and white cheese sauce over waffle fries. I just finished the leftovers and I love Manbroso’s more today than yesterday (you are welcome for putting that song in your head).",*****,cheesesteak fries,no,no,no,no,yes,no,,,,,,,,,,,,,,0,,,,"4550 Aston Mills Rd, Aston PA","4550 Aston Mills Rd, Aston, Pennsylvania 19014, United States",39.8778,-75.44747
254,4/17/2019,City Steaks,818 High St,Burlington,NJ,Burlington County,,sandwich shop,"Google Maps hooked me up today!!  City Steaks!!  After some honest deep cheesteak ingredients conversation with Mrs. Cty Steaks I made an executive decision and got the 'City Special' and I am glad I did.  Cheesesteak with fried onions, mushrooms, sweet peppers, my new recreational cheese provolone and marinara.  you may not need to jump off your couch and hea to Burlington but if you tooling around up there stop in.  Nice place, family run, Mr, Mrs and Jr City Steaks were all working there.  $8.25!!  ",90,,no,no,"2 tables, 4 stools",no,no,$10 minimum,"mini/reg, they'll make anything in mini if you ask.",$8.25,great roll.  stead together while full of marinara,old world bakery,19,good meat.  8.25 not going to complain but needed more for more points.  kind of chunked not chopped,17,"new recreational cheese, provolone.  i think it is clumpier, but more tasteful. more please ",17,extras were great mixed in great,18,"great experience.  everyone was fantastic.  age old delimma, at $8.25 this is a super duper fantastic CS.  on the other hand, you put it side by side with another CS that is more expensive (not alot) and it looks small.",19,90,,,,"818 High St, Burlington NJ","818 High St, Burlington, New Jersey 08016, United States",40.06822,-74.8542
255,4/23/2019,Rocco's Italian Grill & Sports Bar,701 N Union St,Wilmington,DE,New Castle County,,bar/restaraunt,"I went rogue and got the Black and Blue cheesesteak wrap @roccositaliangrill . I thought Tyler was ‘going to make me an offer I couldn’t refuse’ instead he pleaded with us to get the special because his mom yells at him if doesn’t sell enough specials. I am not usually a blue cheese fan but I didn’t have much of a choice because I would have felt guilty if I got Tyler in trouble. Thank goodness it was very good!! What are you if you do a good job of putting different foods together and having them taste good, a concocter or masher-upper? Whichever one you choose, Tyler’s mom is a good one of those.",*****,,yes,no,yes,yes,no,no,1(?),,,,,,,,,,,,,0,,,,"701 N Union St, Wilmington DE","701 North Union Street, Wilmington, Delaware 19805, United States",39.751694,-75.571682
256,4/24/2019,Big Cheese Pizza,364 Wilmington Pike,Glen Mills,PA,Delaware County,,pizza shop,"Big Cheese Glen Mills, go between meal rushes when Melinda is bored and she’ll make whatever you want. Rolls and sauces are made in house. I drew on my inner @jcohl, co-host @diningonadime, and got the big cheesesteak combined with the special on a garlic roll. The was a flavorful taste explosion in my mouth and well you know the rest. I am going to make an executive decision and talk about the fried sugar dough balls and custard sauce for another post. Treat your taste buds to the Big Cheese, new location in Boothwyn also open.",90,rolls made in house,no,no,yes,yes,yes,no,1,$8.50,"awesomeness, made in house",in house,19,"I always want more meat, this time I ereally wanted more meat",16,nice and cheesey.,17,"home made sauce, homemade garlic bread, combined the special and big",19,"Melinda was awesome, go when she is bored, and she'll make new dishes.",19,90,,,,"364 Wilmington Pike, Glen Mills PA","364 Wilmington Pike, Glen Mills, Pennsylvania 19342, United States",39.85752,-75.54262
257,4/27/2019,896 Pie,1543 New London Rd,Landenberg,PA,chester county,,pizza shop,"896 Pie, After hiking in White Clay State park to see the Mason Dixon line tri-state marker we header over to 896 pie because they had a 4.8 rating on Google maps (75 reviews).  Luckily they are BYOB and I had packed some B.  I went with the Stop Sign steak.  There version of ‘how much stuff can you put on a steak sandwich and still call it a steak sandwich’ including ketchup and Mayo.  I am not into ordering Mayo but I am glad there was Mayo on this cheesesteak!!  The top bite where it was mostly meat and roll as okay but the second bite where everything had settled into the roll was a flavor party!!  Landenberg may be far to go for just a cheesesteak but when you add in Mason Dixon line tri-state marker, BYOB and a very good Cheesesteak, It was a very good day and they are getting 5 stars from me. ",91,,BYOB,no,yes,yes,yes,no,IDK,inexpensive,"it held up great, there was a whole lot going on with this CS and the roll did great",,19,"meat was good'ish,with everything else going on the meat flew under the radar.",17,"cheese was good, again with everything else it kind of hid.  ",17,this could have been the 'everything except the kitchen sink' cheesesteak.  everything popped and worked together.  I have to admit that I knew I liked mayo on CS's.,18,"BYOb, very good CS, BYOB, down the street from history.",20,91,,,,"1543 New London Rd, Landenberg PA","1543 New London Rd, Landenberg, Pennsylvania 19350, United States",39.74391,-75.80731
258,5/1/2019,Wingers,1001 MacDade Blvd,Folsom,PA,Delaware County,,Sandwich shop,"Wingers in Folsom. I have a new cheesesteak wing place strategy! Unfortunately you have to wait until I post Season’s pizza to hear the strategy. Back to Wingers, according to the plaques on wall, best of delco, Wings 2 years in a row!! The cheesesteak was big but a little dry and lacking flavor. The rest of the menu looked amazing. New strategy?? I got the onion rings, they were good. Good overall experience.",85,,no,no,yes,yes,yes,min charge $5 (?),1,8ish,"i liked the roll, chewy, good crust, just enough bread","I would guess amoroso, just a guess",19,good amount of meat. a little dry and needed flavor,17,not a lot of cheese,15,I think they were out of mushrooms,15,Winner of Best of Delco Wings 2 years in a row.  onion rings were good and I was very tempted to get broasted chicken.,19,85,,,,"1001 MacDade Blvd, Folsom PA","1001 Macdade Boulevard, Folsom, Pennsylvania 19033, United States",39.880216,-75.340538
259,5/2/2019,Season's Pizza,3901 Concord Pike,Wilmington,DE,New Castle County,,bar/restaraunt,"Major props to my mash-up mentor @jcohl and his partner in podcast @kjw1972 !! Thanks to them I had an amazing culinary concoction mind and taste bending and blowing experience!! Kids, instead experimenting with LSD go to Season’s Pizza and try different wing sauces on your Cheesesteak!! That is correct, all of this mind bending and blowing took place at the very unassuming and family oriented Season’s Pizza on route 202. Let this be my gift to you; try different things on your cheesesteak.",90,,yes,no,yes,yes,yes,no,1,$5.99 on thursday,we put wing sauce on CS and roll held up great,,19,meat was okay but really just a prop in thei experiment,15,cheddar cheese sauce.  kind of got lost on bottom.  kind of wiz'y,17,"we got crazy and added Wing sauce to the cheesesteak and it much better, props to Seasons for joining me on this journey",19,"very fun experience, $5.99 Thursdays, willing to experiment, beer, all thumbs up",20,90,,,,"3901 Concord Pike, Wilmington DE","3901 Concord Pike, Wilmington, Delaware 19803, United States",39.806282,-75.548333
260,5/4/2019,Round Guys Brewing,324 W Main St,Lansdale,PA,Montgomery County,,bar/restaraunt,This isn’t your father’s cheesesteak!! Unless your father is German. This is more casual dining nice pub meal than just a cheesesteak!! The size (small) concerned me but everything was every tasty and it did fill me up. Very good beer selection and everyone was as friendly as could be. Very good overall experience.,*****,German style Cheesesteak,yes,no,yes,yes,no,no,1,$10.75 includes 2 sides,"I really liked the roll, CS was saucey and it held up well",,,Ground beef & sausage. I would have liked a lot more,,very cheesey,,"the extras all worked very very well together. 2 sides, german style potato salad was very flavorful and filling for all the right reasons ",,"overall great experience, a few of the individual pieces could have been better.",,0,,,,"324 W Main St, Lansdale PA","324 West Main Street, Lansdale, Pennsylvania 19446, United States",40.243588,-75.287682
261,5/5/2019,Telford Inn,145 Bridgeton Pike,Mantua Twp,NJ,Gloucester County,,bar/restaraunt,"Today I wish I was on a Roast Beef sandwich adventure. They have fresh carved roast beef sandwiches. About the cheesesteak, half the roll gave out and the meat was on the plate and you can see in the pics there is not a lot of meat. The good news is I got to spend the day with my daughter who is visiting from Florida. There was a good crowd, very good beer selection, the roast beef looked amazing, the bathroom was clean and everyone was as nice as could be!!",81,,yes,no,yes,yes,yes,no,1,$10.00,"half fell apart, i think it fell apart before it hit the plate.",,15,"chopped, very standard",15,very good amount of cheese for the amount of meat,17,I saw a mushroom,15,"good crowd, good beer selection, clean bathroom, everyone was nice, helpful and attentive.",19,81,,,,"145 Bridgeton Pike, Mantua Twp NJ","145 Bridgeton Pike, Mantua, New Jersey 08051, United States",39.793189,-75.172989
262,5/7/2019,Victory Brewing company,650 Cypress St,Kennett Square,PA,chester county,,brew pub,"This meat has performance issues.... or they need to rename the sandwich to ‘nature’s bounty’ or ‘harvest feast,’ because the chewy roll, mushrooms, onions, peppers and Victory made cheese sauce are the flavors you remember. Plus, at $14 give me more meat. And, please refuse service to people that are wearing Lycra Bicycle suits when they don’t have the figure for it!! I am still trying to decide if I enjoyed my visit to Victory Brewing. The sandwich was tasty and the servers were very nice and helpful. But, the sandwich was small and it was $46 (pre-tip) for a sandwich, appetizer and 3 beers.",84,,yes,no,yes,yes,yes,no,1,$14.00,nice chewy roll,,18,the one bite where i actually tasted the meat. it is tasty.  needed lots more meat.,15,Victory made cheese wiz.  good but if it is a selling point it needs to be better,17,phenomenal,19,"good sandwich but small,  $46 for CS, appetizer, 3 beers, pricey",15,84,,,,"650 Cypress St, Kennett Square PA","650 East Cypress Street, Kennett Square, Pennsylvania 19348, United States",39.85031,-75.698261
263,5/10/2019,Sterling Pig Brewery,609 W State St,Media,PA,Delaware County,,brew pub,"My love/hate relationship with brewpubs continues....so I made an executive decision to go Media today and eat at a trendy Media place. I know trendy and me don’t go together so maybe that is why I am regularly disappointed. I loved the taste of the brisket. I hated that it wasn’t chopped up. One bite was dry, one bite was all fat, one was perfect, chop it all together and every bite is perfect. I loved the cheese sauce. I hated that it couldn’t get thoroughly mixed in with the meat and be part of every bite. I loved the cider beer. I hated that it was the only beer on tap that was brewed somewhere else. I wanted to love Sterling Pig and it’s very cool vibe but at $20 for lunch for one beer and a sandwich that could be so much better, I can’t.",****,Bar-B-Que,yes,no,yes,"yes, scary shawshank bathroom",yes'ish,no,1,$14.00,flakey round roll,,,"brisket cut in thick slice.  I didn't like for sandwich, either 1. in non-sandwich I could have cut around fat.  2. chop it up for sandwich so flavors (and fat) mix altogether.",,"cheese sauce, needed more and chopped meat so it could be in every bite",,nice caramelized onions,,I loved the falvor but it could have been so much better.  I did not care for $14.,,0,,,,"609 W State St, Media PA","609 State Street, Media, Pennsylvania 19063, United States",39.918561,-75.398206
264,5/11/2019,Stickman brews,326 N Lewis Rd #240,Royersford,PA,Montgomery County,,brewpub,I think I liked Stickman brews but paying $14 for goodish sandwiches is getting old.  They had a decent selection of beer.  Most were named after the Karate Kid movie.  No sours the day Carole and I went.  Grilled Cheese cheesesteak was good and came with tots.  They knew we were splitting it so they put it on 2 plates.  A lot of positives but I am having a hard time getting over $14 for a grilled cheese sandwich.,****,grilled cheese cheesesteak,yes,no,yes,yes,yes,no,1,$14.00,toasted,,,"ribbons, good enough",,"good cheese, didn't kill me with cheese",,,,"I am not a fan of goodish $14 sandwiches, nice beers, no sours",,0,,,,"326 N Lewis Rd #240, Royersford PA","326 N Lewis Rd, Royersford, Pennsylvania 19468, United States",40.19231,-75.53169
265,5/11/2019,Talarico's Sandwich shop,425 E Philadelphia Ave,Boyertown,PA,Berks County,,sandwich shop,"Stay for the homemade Carrot Cake. Find a reason to go Boyertown and when you are there go to Talarico’s Sandwich shop. Soft Rolls, according to Kyle 4th generation proprietor, it is an Amish thing. I will be researching that next week at Farmers market. Anyway I am a soft roll fan because they are soft and hold up under a lot of sauce. I got my cheesesteak with the Talarico made special sauce, a red sauce, very flavorful. Carole got, at @jcohlsuggestion, the pepper ham sandwich. It was amazing and Kyle discloses the origin of the Pepper Ham sandwich in the longer version of this video that I’ll be posting on my YouTube channel, Philadelphia Cheesesteak adventure. Videos for all 270 cheesesteaks that I’ve eaten are there. Homemade carrot cake was amazing. PS $23, 2 (amazing) sandwiches, 2 (small) bags of chips, 1 24oz (Kutztown) soda and big piece of carrot cake.",91,"Hometown, special sauce and Pepper Ham Cheesesteak",no,no,yes,yes,no,no,2,$10 ish,soft roll but held up great,ATV(?),18,meat had great flavor on it's own. needed more,18,nice cheese melt,17,"special sauce was amazing, LT got lost on bottom",18,"got to love a smalltown\hometown sandwich shop.  Lots of pride, love and history",20,91,,,,"425 E Philadelphia Ave, Boyertown PA","425 East Philadelphia Avenue, Boyertown, Pennsylvania 19512, United States",40.330353,-75.631537
266,5/12/2019,Art's Deli,36 N Broadway,Gloucester City,NJ,Camden County,,deli,These are the cheesesteaks I dislike reviewing.  The woman running the counter at Art's is phenomenal.  The roll was very good but too big.  The meat did need flavor.  Everything else was good but got lost in the roll.  They needed 5lbs of meat and a wheel of cheese to fill that roll.  It was a good roll but too big.,84,,no,no,yes,IDK,no,no,3,"large, $17.50","big, bready, crusty roll unfortunately it is too big",Liscio,17,alot of meat but it got lost in the roll and needed flavor,16,8 slices but this is a big cheesesteak and prod needed at least 2 more,16,lots of LT.  lots of srooms and onions but this is a big CS and needed more,16,It was a good roll but it was too big.  it needed 3lbs of meat and a wheel of cheese to fill this roll.  The woman working was awesome.,19,84,,,,"36 N Broadway, Gloucester City NJ","36 North Broadway, Gloucester City, New Jersey 08030, United States",39.897617,-75.12005
267,5/21/2019,Buffalo Wild Wings,920 Baltimore Pike,Glen Mills,PA,Delaware County,,bar/restaraunt,"Bufalo Wild Wings is exactly what they depict on their TV commericials.  The cheesesteak was exactly what I would have expected from BW's.  the concoction that was on the roll could have been served on just about anything, nachos, fries, grilled cheese.  they do them very well, cheesesteaks not so much.",78,,yes,no,yes,yes,yes,no,1,$11.29,"toasted, not much more than a hot dog roll",,15,lost in the other flavors,15,plenty and zesty,16,very flavorful but may be not for a cheesesteak,16,B W's is exactly what it is.  beer specials saved the overall experience.,16,78,,,,"920 Baltimore Pike, Glen Mills PA","920 Baltimore Pike, Glen Mills, Pennsylvania 19342, United States",39.88341,-75.536
268,5/22/2019,Johnny Hots,1234 N Delaware Ave,Philadelphia,PA,Philadelphia County,Fishtown/N. Liberty,sandwich shop,"Tasty tasty meat and mushrooms. Very crusty roll, I thought I was a soft roll guy but I may have been incorrect!! Lots of regulars getting big orders and one policeman, good signs.",86,,no,no,"no, small counter space",no,3 spots,think so,1,$13 included soda,"crusty roll, if you like a crusty roll, you'll like this roll",,18,"very tasty, good meaty flavor, needed lots more",18,"good where it was, definitely in clumps",16,mushrooms were flavorful with robust flavor.  very good tomatoes,18,i was looking for something smaller and almost drove right past it.  very good for what it is.,16,86,,,,"1234 N Delaware Ave, Philadelphia PA","1234 North Delaware Avenue, Philadelphia, Pennsylvania 19125, United States",39.96725,-75.129504
269,5/26/2019,Rocco's Pizza,605 Pottstown Pike,Exton,PA,chester county,,pizza shop,"Bar-B-Que tomorrow?!?? I found myself starving in Exton........that has movie/book title written all over it!! Rocco’s came up with a 4.6 rating on Google Maps and 1st reviewer said he was going back for the cheesesteak, so I went to Rocco’s. I once again have to thank @jcohl and @kjw1972 because I asked if they would make my cheesesteak on garlic bread and they said yes. The garlic bread made an average cheesesteak very tasty. Plenty of seating free refill on soda, bathroom, the pizza (Cheesesteak, Bar-B-Que Chicken) and beer including sour monkey. Kid running the counter was stu-freaking-pendous.  Overall very good experience.",88,garlic bread roll if you ask,beer,no,yes,yes,yes,no,1,9.30ish,"roll struggled a little. pretty good roll, garlic made it very good",,18,"good, may be a touch bland",17,"cheese was pretty darn good, may be one more slice",18,"extras were bland, garlic was amazing",16,"parking, tables, bathroom, free refill, beer, very good looking pizza,  very good amenities.  Kid running the counter was stu-freaking-pendous",19,88,,,,"605 Pottstown Pike, Exton PA","605 Pottstown Pike, Exton, Pennsylvania 19341, United States",40.051365,-75.636743
270,5/29/2019,Rotten Ralph's,201 Chestnut St,Philadelphia,PA,Philadelphia County,Olde City,bar/restaraunt,"I liked the Bar and location.  $11 for the cheesesteak and $7 for a draft,  I like it considering the location.  The cheesesteak was average, possibly good considering the area.  if I was schlepping around olde city again and wanted a beer and cheesesteak, I wouldn't pass up rotten Ralph's.  I would however probably get the cheesesteak eggroll.  overall good experience.",84,,yes,no,yes,yes,no,no,1,$11.00,very standard may be a little toasted,,15,"needed more meat, standard meat",15,"cheese was good and great melt, great amount ofor amount of meat",17,"fried onions, mushrooms very good and plentiful",18,"good day in olde city, great location for people watching, staff was very helpful, prices were good for location",19,84,,,,"201 Chestnut St, Philadelphia PA","201 Chestnut Street, Philadelphia, Pennsylvania 19106, United States",39.948514,-75.144232
271,5/30/2019,Ice House ,1 King St,Pottstown,PA,Montgomery County,,family restaraunt,"I went to Pottstown to show how much I care about you..... Ice House, I have heard great things about Ice House. I wish I hadn’t heard great things because I went in with high expectations. Plus missing the turn onto High St didn’t help my demeanor. It was a good cheesesteak but I was expecting a great cheesesteak. My cheesesteak looked much different than pictures of other Ice House cheesesteaks that I have seen. It was still a very tasty and good cheesesteak. I got it with sweet peppers and Ice House sauce. They describe the sauce as a marinara, my limited culinary skills tell me it was a vinaigrette’y marinara. It was a great vegetable sandwich w/cheesesteak meat. Overall all pretty good experience. Great hometown feel and my Ice House made donut was amazing!!",86,"donuts, marina sauce on cheesesteak, Heritage Trail (?)",no,no,yes,yes,yes,no,3 (?),$10.75,a little disappointed in my conshy roll.  juicy and roll really didn't do it's job.,conshy,16,"good meat, needed a whole lot more",15,very good cheese and melt.  would have needed more for more meat,17,excellent across the board,19,"i went in with very high expections.  cheesesteak not nearly as great as I hoped it would be.  plus I thought a little pricey.  I got onion rings which were amazing and a donut, amazing!!",19,86,,,,"1 King St, Pottstown PA","1 King St, Pottstown, Pennsylvania 19464, United States",40.24724,-75.65373
272,6/2/2019,Max Brenner,1500 Walnut St,Philadelphia,PA,Philadelphia County,center city,bar/restaraunt,"Colonel Sanders who?? This is how the cheesesteak guy does waffles......... The iconic chocolate martini was just a bonus!! Max Brenner knows how to brunch!!  Cheesesteak was $16 and the martini 12.95, for people that know me and my frugality, I have not lost my mind.  I will chalk Max's up to a very nice splurge/treat.  Staff (Laura and Maddie, hope I spelled correctly) were awesome!!  Have McGriddles trained me to want my pancakes/waffles soaked in syrup, possibly.  Is this why I wish Max's Waffles have some moisture, possibly.  More Martini's and everything is fine!!  I like Max's!!",88,waffle bread roll. The Ultimate Chocolate martini,yes,no,yes,yes,no,no,1,$16.00,"max made dough pressed into a waffle, yummy.  unfortunately McGriddles have ruined my pallet",max's,17,"goodmeat, it was covered in cheese so I don't know if it had any flavor",17,"cheese, very where cheese",18,"fried onions and onion rings on top, excellent",18,"max's iconic chocolate martini aka daddy's chocolate milk, awesome  it was a very nice treat/splurge  Laura and maddie ( I hope I spelled correctly) were awesome!",18,88,,,,"1500 Walnut St, Philadelphia PA","1500 Walnut St, 1500 Walnut St, Philadelphia, Pennsylvania 19102, United States",39.949436,-75.16639
273,6/4/2019,Terry's Too,1541 Chester Pike,Folcroft,PA,Delaware County,,bar/restaraunt,"Yes this Salmon cheesesteak w/ Shrimp scored a 90. It scored a 90 because it is a very tasty cheesesteak, came shrimp, came w/onion rings, was under $10, everyone was neighborly, chatty and helpful BUT this a Dive Bar!!  Sorry Donato but it is a dive bar.  ",90,Salmon cheesesteak,yes,no,yes,yes,yes'ish,"IDK, maybe",1,Under $10 and came with onion rings,"standard, toasted",IDK,17,"Salmon, nicely done",17,melted thru nicely,18,"Shrimp!!  ton of flavor, broccoli and bunch of other stuff",19,"neighborly dive bar everyone was chatty and helpful, under $10 and came with onion rings",19,90,,,,"1541 Chester Pike, Folcroft PA","1541 Chester Pike, Folcroft, Pennsylvania 19032, United States",39.9043,-75.28144
274,6/4/2019,Terry's Too,1541 Chester Pike,Folcroft,PA,Delaware County,,bar/restaraunt,"Sorry Donato but this is a dive bar.  The people are friendly and neighborly but this is a dive bar.  the cheesesteak was standard.  Luckily I was there with my #2, we also had the Salmon cheesesteeak with shrimp, the cheesesteak came with old bay french fries and was $8.  Another case of a place where everyone else goes to Terry's Too for something other than the cheesesteak and I am there for the cheesesteak.",76,,yes,no,yes,yes,yes'ish,"IDK, maybe",1,$8 included fries,"standard, toasted",IDK,15,"needed more meat, standard meat",15,not melted,15,standard,15,neighborly dive bar.  kitchen opens at 3ish,16,76,,,,"1541 Chester Pike, Folcroft PA","1541 Chester Pike, Folcroft, Pennsylvania 19032, United States",39.9043,-75.28144
275,6/4/2019,Venice Pizza & Pasta,60 Lancaster Ave,Malvern,PA,chester county,,pizza shop,"Venice Pizza & Pasta, Malvern. You made me, my car and refrigerator stink for days and I love you for it!! They say Christo, you Garlic bread. The garlic bread was amazing. The bad news is they are smart enough to charge extra for the garlic bread. The good news is it is worth every penny. This is a low 90’s cheesesteak all day long.",90,"Christo, garlic bread",no,no,yes,yes,yes,no,IDK,$12 something included soda,"Christo, Garlic bread 50 cents more and worth every penny",,20,"good but needed more, lots more",16,cheese was good but more meat needs more cheese,17,"plenty of very good fried onions and mushrooms.  lettuce and tomato on bottom, eh",18,"overall love this place, i think the daughters were prepping, mom was helping, dad showed up and eveyone disappeared.",19,90,,,,"60 Lancaster Ave, Malvern PA","60 Lancaster Ave, Malvern, Pennsylvania 19355, United States",40.04322,-75.5269
276,6/7/2019,Cafe Lift,428 N 13th St,Philadelphia,PA,Philadelphia County,Center City,restaurant,"I am glad I found this little beauty!! I took a picture of menu because it describes the fried egg Cheesesteak better than I can. I went to their 2nd location on 13th near Hamilton. BYOB let’s get that out there right away. This is the front runner for next year’s best brunch cheesesteak. Great fun helpful atmosphere which is a direct contrast to the industrial architecture. Breakfast, home fries, cheesesteak meat, cafe lift special sauce and ability to bring my own booze!! Love you cafe lift!!",88,fried egg cheesesteak,BYOB,no,yes,yes,no,no,1,$13(?),"pretzel roll, awesomeness",idk,19,"very eatable, BUT needs a whole lot more to compete outside best brunch division",15,"great cheese, great melt",17,phenomonanal extras,18,love this place,19,88,,,,"428 N 13th St, Philadelphia PA","428 N 13th St, Philadelphia, Pennsylvania 19123, United States",39.9605,-75.15987
